Licensee Name,Meridian Goods LLC
Licensor Name,BrandCo Holdings LLC
Contract Number,BC-2024-0078
Reporting Period Start,2025-10-01
Reporting Period End,2025-12-31
Report Submission Date,2026-01-29
Territory,United States and Canada

Product Description,SKU,Product Category,Gross Sales,Returns / Allowances,Net Sales,Royalty Rate,Royalty Due
Classic Logo Tee - S/M/L,SKU-APP-001,Apparel,31200.00,1400.00,29800.00,10%,2980.00
Classic Logo Tee - XL/XXL,SKU-APP-002,Apparel,17800.00,800.00,17000.00,10%,1700.00
Logo Hoodie - Full Zip,SKU-APP-003,Apparel,42500.00,2000.00,40500.00,10%,4050.00
Logo Hoodie - Pullover,SKU-APP-004,Apparel,28600.00,1200.00,27400.00,10%,2740.00
Holiday Crewneck Sweater,SKU-APP-005,Apparel,19400.00,600.00,18800.00,10%,1880.00
Logo Cap - Structured,SKU-ACC-001,Accessories,18400.00,500.00,17900.00,10%,1790.00
Logo Cap - Unstructured,SKU-ACC-002,Accessories,14200.00,400.00,13800.00,10%,1380.00
Branded Keychain,SKU-ACC-003,Accessories,8900.00,200.00,8700.00,10%,870.00
Tote Bag - Canvas,SKU-ACC-004,Accessories,11600.00,350.00,11250.00,10%,1125.00
Holiday Gift Set - Accessories,SKU-ACC-005,Accessories,9800.00,300.00,9500.00,10%,950.00
Low-Top Sneaker,SKU-FTW-001,Footwear,44800.00,3200.00,41600.00,8%,3328.00
High-Top Sneaker,SKU-FTW-002,Footwear,28500.00,2100.00,26400.00,8%,2112.00
Slide Sandal,SKU-FTW-003,Footwear,13200.00,700.00,12500.00,8%,1000.00
Limited Edition Boot,SKU-FTW-004,Footwear,21000.00,1000.00,20000.00,8%,1600.00

TOTAL,,,309900.00,14750.00,295150.00,,27505.00

Licensee Reported Royalty,27505.00
Notes,"Rates per contract Exhibit A: Apparel 10%, Accessories 12%, Footwear 8%. Holiday quarter — new SKUs SKU-APP-005, SKU-ACC-005, SKU-FTW-004 introduced. All amounts in USD. Canadian sales converted at 1.38 CAD/USD per reporting period average. Note: licensee applied 10% to all Accessories rows instead of the contractual 12%. Correct Accessories royalty is $7,338.00 (12% of $61,150.00); licensee reported $6,115.00 (10% of $61,150.00). Correct total royalty is $28,728.00. Discrepancy: $1,223.00 under-reported."
