Licensee Name,Sunrise Apparel Co.
Licensor Name,BrandCo Holdings LLC
Contract Number,BC-2024-0042
Reporting Period Start,2025-07-01
Reporting Period End,2025-09-30
Report Submission Date,2025-10-27
Territory,United States

Product Description,SKU,Product Category,Gross Sales,Returns / Allowances,Net Sales,Royalty Rate,Royalty Due
Logo Tee - All Sizes,ALL-APP-001,Apparel,52000.00,2100.00,49900.00,8%,3993.00
Logo Outerwear - Hoodies / Jackets,ALL-APP-002,Apparel,38500.00,3200.00,35300.00,8%,2824.00
Logo Accessories - Hats / Bags / Other,ALL-ACC-003,Apparel,14800.00,600.00,14200.00,8%,1136.00

TOTAL,,,,5900.00,99400.00,,7953.00

Licensee Reported Royalty,7953.00
Notes,"Licensee applied 8% rate across all product lines (flat rate contract). Returns reflect Q3 chargebacks. Note: licensee rounded up the royalty on the Logo Tee row — they reported $3,993.00 instead of the exact $3,992.00 (8% of $49,900). Correct total royalty is $7,952.00. Discrepancy: $1.00 over-reported."
